标题,链接,日期
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2025年2月辟谣榜,https://www.cac.gov.cn/2025-03/13/c_1743568624128884.htm,
利用AI造谣扰乱视听 联动整治维护网络清朗——中国互联网联合辟谣平台2025年2月辟谣榜综述,https://www.cac.gov.cn/2025-03/13/c_1743568635023235.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2025年1月辟谣榜,https://www.cac.gov.cn/2025-02/11/c_1740972836573635.htm,
涉春节谣言给节日“添堵” 清朗行动营造良好氛围——中国互联网联合辟谣平台2025年1月辟谣榜综述,https://www.cac.gov.cn/2025-02/11/c_1740972836571433.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年12月辟谣榜,https://www.cac.gov.cn/2025-01/10/c_1738209437569073.htm,
民生谣言扰乱人心 联动惩谣共护清朗——中国互联网联合辟谣平台2024年12月辟谣榜综述,https://www.cac.gov.cn/2025-01/10/c_1738209437448716.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年11月辟谣榜,https://www.cac.gov.cn/2024-12/06/c_1735181524889522.htm,
造谣事故灾害扰乱秩序 辟谣与打击并重绝不姑息——中国互联网联合辟谣平台2024年11月辟谣榜综述,https://www.cac.gov.cn/2024-12/06/c_1735181525903533.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年10月辟谣榜,https://www.cac.gov.cn/2024-11/12/c_1733102556737805.htm,
造假摆拍炒作引流 依法处罚以正视听——中国互联网联合辟谣平台2024年10月辟谣榜综述,https://www.cac.gov.cn/2024-11/12/c_1733102556497382.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年9月辟谣榜,https://www.cac.gov.cn/2024-10/12/c_1730422345687081.htm,
编造公共政策图牟利 恶意炮制话题扰视听——中国互联网联合辟谣平台2024年9月辟谣榜综述,https://www.cac.gov.cn/2024-10/12/c_1730422344058378.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年8月辟谣榜,https://www.cac.gov.cn/2024-09/10/c_1727654610445326.htm,
虚构灾害事故干扰秩序 杜撰歪解政策混淆视听——中国互联网联合辟谣平台2024年8月辟谣榜综述,https://www.cac.gov.cn/2024-09/10/c_1727654610821199.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年7月辟谣榜,https://www.cac.gov.cn/2024-08/02/c_1724283053455553.htm,
编造涉汛谣言扰乱秩序 虚构社会事件混淆视听——中国互联网联合辟谣平台2024年7月辟谣榜综述,https://www.cac.gov.cn/2024-08/02/c_1724283053655318.htm,
灾情险情谣言干扰防汛救灾 涉招考不实信息存诈骗风险——中国互联网联合辟谣平台2024年6月辟谣榜综述,https://www.cac.gov.cn/2024-07/09/c_1722205079019658.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年6月辟谣榜,https://www.cac.gov.cn/2024-07/09/c_1722205079090733.htm,
伪造“红头文件”行骗牟利 传播伪科普误导公众——中国互联网联合辟谣平台2024年5月辟谣榜综述,https://www.cac.gov.cn/2024-06/12/c_1719870545403825.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年5月辟谣榜,https://www.cac.gov.cn/2024-06/12/c_1719870544562703.htm,
冒官方名义造假行骗 借科技之名传谣牟利——中国互联网联合辟谣平台2024年4月辟谣榜综述,https://www.cac.gov.cn/2024-05/09/c_1716922485085877.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年4月辟谣榜,https://www.cac.gov.cn/2024-05/09/c_1716922484658593.htm,
警惕假“网信办”来电！带你识破热门骗局,https://www.cac.gov.cn/2024-04/19/c_1715206244089929.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年3月辟谣榜,https://www.cac.gov.cn/2024-04/09/c_1714336896095345.htm,
三类谣言误导公众 及时辨析以正视听——中国互联网联合辟谣平台2024年3月辟谣榜综述,https://www.cac.gov.cn/2024-04/09/c_1714336896157604.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年2月辟谣榜,https://www.cac.gov.cn/2024-03/13/c_1711914013398729.htm,
涉春节春运谣言扰秩序 开年民生类谣言需警惕——中国互联网联合辟谣平台2024年2月辟谣榜综述,https://www.cac.gov.cn/2024-03/13/c_1711914013462024.htm,
谣传灾情扰乱社会秩序 虚构热点混淆公众视听——中国互联网联合辟谣平台2024年1月辟谣榜综述,https://www.cac.gov.cn/2024-02/06/c_1708886892687303.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年1月辟谣榜,https://www.cac.gov.cn/2024-02/06/c_1708886892731162.htm,
曲解政策消解社会信任 搭蹭热点引发焦虑恐慌——中国互联网联合辟谣平台2023年12月辟谣榜综述,https://www.cac.gov.cn/2024-01/10/c_1706553927709524.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年12月辟谣榜,https://www.cac.gov.cn/2024-01/10/c_1706553927771526.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年11月辟谣榜,https://www.cac.gov.cn/2023-12/12/c_1704043838104458.htm,
炮制伪科普误导公众 编造假政策扰乱视听——中国互联网联合辟谣平台2023年11月辟谣榜综述,https://www.cac.gov.cn/2023-12/12/c_1704043838172777.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年10月辟谣榜,https://www.cac.gov.cn/2023-11/08/c_1701102637166699.htm,
编民生“假政策”误导公众 造AI“伪新闻”触碰底线——中国互联网联合辟谣平台2023年10月辟谣榜综述,https://www.cac.gov.cn/2023-11/08/c_1701102636968886.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年9月辟谣榜,https://www.cac.gov.cn/2023-10/12/c_1698773529451174.htm,
无中生有造“热点” 假冒权威图牟利——中国互联网联合辟谣平台2023年9月辟谣榜综述,https://www.cac.gov.cn/2023-10/12/c_1698773527693935.htm,
中央网信办召开全国网络辟谣联动机制第一次全体会议,https://www.cac.gov.cn/2023-09/22/c_1697044585748735.htm,
搭蹭热点挑情绪 炒作灾情引恐慌——中国互联网联合辟谣平台2023年8月辟谣榜综述,https://www.cac.gov.cn/2023-09/07/c_1695746824871010.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年8月辟谣榜,https://www.cac.gov.cn/2023-09/07/c_1695746824991876.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年7月辟谣榜,https://www.cac.gov.cn/2023-08/10/c_1693320176253367.htm,
冒官方名义行骗牟利 蹭社会热点造谣扰序——中国互联网联合辟谣平台2023年7月辟谣榜综述,https://www.cac.gov.cn/2023-08/10/c_1693320176208409.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年6月辟谣榜,https://www.cac.gov.cn/2023-07/11/c_1690749550433188.htm,
冒充“国字头”招摇撞骗 生造“伪概念”博取眼球——中国互联网联合辟谣平台2023年6月辟谣榜综述,https://www.cac.gov.cn/2023-07/11/c_1690749550288183.htm,
曲解政策设陷阱 炒作热点扰视听——中国互联网联合辟谣平台2023年5月辟谣榜综述,https://www.cac.gov.cn/2023-06/10/c_1688044380442613.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年5月辟谣榜,https://www.cac.gov.cn/2023-06/10/c_1688044387585454.htm,
旧谣新传博眼球 杜撰政策行骗局——中国互联网联合辟谣平台2023年4月辟谣榜综述,https://www.cac.gov.cn/2023-05/11/c_1685449751353472.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年4月辟谣榜,https://www.cac.gov.cn/2023-05/11/c_1685449746886753.htm,
凭空捏造恶意中伤 流言蜚语难掩真相——中国互联网联合辟谣平台2023年3月辟谣榜综述,https://www.cac.gov.cn/2023-04/12/c_1682944865045637.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2023年3月辟谣榜,https://www.cac.gov.cn/2023-04/12/c_1682944863987321.htm,
